name,osc1 shape,osc1 fm modulation,osc2 shape,osc2 pitch,osc2 tune,osc2 kbd track,osc mix,osc sync,osc ring modulation,osc pulse width,osc key shift,osc mod env on/off,osc mod env amount,osc mod env attack,osc p.env decay,filter type,filter attack,filter decay,filter sustain,filter release,filter freq,filter resonance,filter amount,filter kbd track,filter distortion,filter velocity switch,amp attack,amp decay,amp sustain,amp release,amp gain,amp velocity sens.,arp. on/off,arp type,arp range,arp beat,arp gate,delay on/off,delay time,delay feedback,delay level,chorus on/off,chorus type,chorus delay time,chorus depth,chorus rate,chorus feedback,chorus level,equalizer tone,equalizer freq.,equalizer level,equalizer Q,play mode type,play mode portament,pitch bend range,wheel lfo1 depth sens.,lfo1 on/off,lfo1 destination,lfo1 type,lfo1 speed,lfo1 depth,lfo2 on/off,lfo2 destination,lfo2 type,lfo2 speed,lfo2 depth
 twin speak,0,24,3,50,66,1,64,0,0,127,-6,1,127,0,39,3,0,64,20,32,14,64,69,0,24,0,0,56,12,32,90,0,0,4,3,0,0,1,10,40,40,1,2,64,64,64,0,61,64,0,127,0,2,28,12,96,1,6,5,73,55,1,3,5,59,64
 auto-solo,0,49,3,64,82,1,74,1,1,90,-12,1,98,0,36,0,0,59,62,64,20,110,84,24,38,1,14,48,78,60,118,0,0,4,3,0,0,1,8,18,3,1,2,64,64,64,0,18,78,20,103,14,0,18,12,0,1,2,3,78,54,1,3,3,58,89
 mecchanic stars,0,19,4,64,63,1,63,1,0,124,-18,1,127,0,54,1,0,75,38,14,0,92,96,36,118,1,0,61,107,19,60,38,1,4,3,9,47,1,5,58,48,1,2,42,91,30,0,37,63,4,107,25,1,60,12,106,1,6,5,64,109,1,3,5,17,50
 strange rhodes ,0,46,3,64,66,1,48,0,0,93,-6,0,0,0,0,0,0,27,94,91,18,89,116,50,0,1,0,111,83,96,103,85,0,4,3,0,0,1,12,35,10,1,2,42,93,22,56,36,64,64,119,44,0,38,12,86,1,4,1,101,94,1,3,1,47,42
 soobwoofer tester,2,0,1,64,66,1,0,0,0,127,-20,1,127,0,49,0,0,93,55,14,9,83,30,39,0,0,0,84,88,14,46,0,0,4,3,0,0,0,0,0,6,0,4,0,0,0,0,0,49,12,94,0,1,0,12,127,1,3,5,10,0,0,2,5,10,11
     LiKwiDaTaBaSsEs ,0,0,3,51,66,1,127,0,0,127,0,0,127,0,48,0,0,0,0,0,39,118,52,0,48,0,0,101,0,89,95,22,0,4,3,0,0,1,12,0,5,1,1,28,64,65,59,57,56,52,65,22,1,25,12,92,1,3,5,66,43,1,6,5,2,48
 another acid shit,0,127,3,64,78,1,41,0,0,120,-12,1,61,4,49,0,0,84,94,102,13,98,90,16,78,1,0,111,102,51,72,85,0,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,50,0,118,16,1,0,12,86,1,3,1,42,51,1,6,1,11,114
 go and come back,0,94,1,51,81,1,64,1,1,71,0,1,65,62,76,0,0,124,14,113,18,47,127,64,55,1,0,90,109,114,43,93,0,4,3,0,0,1,12,30,9,1,4,70,96,70,0,15,62,12,93,47,1,31,12,61,1,6,2,74,6,1,2,1,1,75
 a long long road,1,0,3,93,66,1,0,1,1,0,-12,1,46,127,97,1,117,105,119,111,0,78,66,127,30,1,0,59,107,117,69,22,0,4,3,0,0,1,12,102,16,1,2,79,108,18,31,41,64,6,114,64,0,28,24,35,1,5,5,19,127,1,3,5,36,23
 awesome dnb,0,77,1,51,66,1,61,0,0,108,-6,1,98,0,79,3,0,60,84,0,6,69,11,127,57,1,0,78,111,0,79,22,0,4,3,0,0,1,8,93,6,1,4,26,127,24,93,12,64,0,110,62,1,22,12,25,1,3,5,38,27,1,3,1,48,26
 propellerharp,0,51,2,64,66,1,0,0,0,64,-24,0,0,0,0,0,0,79,45,64,21,109,79,64,78,0,0,86,10,0,94,22,1,2,2,11,55,1,15,40,21,1,2,64,64,64,0,38,64,41,86,64,1,0,12,127,1,6,1,67,36,1,3,1,84,65
 zion gates |,0,24,3,50,66,1,64,0,0,127,-6,1,80,0,25,3,0,64,20,32,14,64,69,0,24,0,0,56,0,32,127,0,1,4,1,11,64,1,10,40,40,1,2,64,64,64,0,40,64,0,119,0,1,28,12,127,1,6,1,73,55,1,3,1,59,64
 150 hz bass,0,29,1,51,69,1,42,0,0,23,0,1,80,0,39,0,0,50,76,80,0,43,127,63,0,1,1,66,78,72,105,0,0,4,3,0,2,1,12,93,23,1,2,0,75,64,125,115,64,22,85,67,0,31,12,127,1,2,5,58,2,1,3,5,18,26
 soft close,3,0,2,31,63,1,64,0,0,108,12,0,64,0,0,0,118,64,32,64,25,33,0,64,0,1,59,127,127,96,54,0,0,4,3,0,0,1,5,81,36,1,2,38,73,61,96,103,64,16,107,27,1,38,12,8,1,4,5,45,42,1,3,1,29,61
 trumpet solo,1,0,1,51,127,0,127,1,0,127,-12,1,64,0,0,1,50,64,32,64,6,16,64,64,0,1,0,21,71,76,105,22,0,4,3,0,0,1,8,6,4,1,2,28,83,0,38,21,64,0,127,59,1,0,16,127,1,6,4,50,6,1,3,3,107,120
 transisters,0,60,1,51,66,1,127,0,0,118,-3,1,127,0,42,0,0,20,78,51,35,99,98,127,127,1,0,66,92,30,16,22,0,4,3,0,0,1,10,77,5,1,4,48,127,48,0,25,64,10,127,40,0,35,12,0,1,3,5,52,54,1,6,5,22,56
 maximoog,0,0,1,64,66,1,64,0,0,127,-20,1,64,0,62,3,0,58,0,64,24,24,127,64,0,1,46,80,59,47,74,22,0,4,3,0,0,1,8,34,4,1,2,63,53,24,106,12,64,21,127,0,1,36,2,69,1,3,5,34,25,1,5,1,47,64
 add baxxpander !,1,0,1,51,76,1,64,0,0,127,-12,1,64,0,46,0,0,72,0,0,6,36,114,30,45,1,0,64,127,0,114,0,0,4,3,0,0,1,8,37,2,0,2,64,64,64,0,55,64,48,75,0,1,0,12,127,1,3,1,54,36,1,2,5,66,2
 pro-phat 6,1,0,1,63,69,1,44,1,0,127,-6,0,64,0,0,1,0,64,127,115,12,0,127,0,0,1,0,64,127,78,62,35,0,4,3,0,0,1,8,61,7,1,4,56,96,30,0,19,72,14,103,42,1,24,2,18,1,6,5,50,30,1,3,1,57,24
 load energy,0,117,3,51,70,1,76,0,0,100,0,1,121,0,24,0,0,41,105,112,0,14,127,63,0,1,0,57,94,58,64,85,0,4,3,0,0,1,11,0,1,1,2,97,85,18,21,7,48,0,127,0,1,0,12,127,1,3,5,21,57,1,6,1,18,48
 upright uptight,0,11,1,64,64,1,68,0,0,120,-12,1,102,6,30,0,0,24,50,36,26,50,82,2,21,1,6,75,91,52,72,12,0,4,3,0,0,1,8,36,6,1,2,31,73,64,4,13,54,10,106,25,2,24,2,53,1,3,5,30,13,1,5,1,34,36
 love parade,2,0,1,77,66,1,127,0,0,104,-12,0,0,0,0,0,18,102,71,64,7,120,124,64,42,1,0,94,114,47,76,0,0,4,3,0,0,1,8,66,3,1,2,87,36,39,0,18,49,7,113,22,0,17,12,105,1,3,5,54,59,1,5,1,34,64
 acido liquido,0,0,2,0,66,0,127,0,0,33,0,1,88,0,32,1,0,77,32,79,17,116,120,127,91,0,0,81,105,84,61,22,0,4,3,0,0,1,14,14,3,1,2,39,88,30,35,21,64,16,107,82,1,23,12,64,1,1,2,48,11,1,3,1,47,81
 science fortress,1,38,2,64,66,1,38,1,0,107,-12,0,64,0,0,3,0,64,32,64,11,1,72,29,0,1,0,86,10,0,82,42,1,3,1,11,48,1,15,40,37,1,2,90,107,10,46,62,64,6,108,27,1,29,12,105,1,6,2,67,48,1,3,5,84,65
 escape from ...,1,55,1,64,75,1,104,1,1,108,0,0,64,0,0,0,0,29,9,31,0,29,123,71,0,1,0,49,71,77,49,22,1,2,0,14,81,1,14,40,77,1,4,75,91,77,12,55,64,6,121,12,1,0,12,127,1,1,5,44,23,1,3,5,33,68
 finger slap,0,17,4,61,75,1,62,1,0,108,-12,1,107,0,58,0,0,64,32,0,28,43,74,113,31,1,0,64,6,0,74,22,0,4,3,0,0,1,8,40,4,1,2,64,105,64,0,14,64,25,120,45,0,112,12,127,1,6,1,73,18,1,3,2,26,36
 techsquare,0,0,3,89,66,1,49,1,0,104,-12,0,64,0,0,0,0,64,32,64,15,29,64,124,66,1,0,64,105,47,127,22,0,4,3,0,0,1,1,0,4,1,1,64,80,25,0,24,64,64,64,64,0,0,12,127,1,2,1,37,0,1,3,1,43,36
 voweland,0,65,1,51,66,1,82,0,0,108,0,1,98,25,79,0,0,24,52,81,18,95,80,127,41,1,0,66,92,30,75,22,0,4,3,0,0,1,10,93,3,1,1,52,69,60,0,65,74,11,127,75,1,22,12,19,1,3,5,94,26,1,6,5,26,56
 brass bass,0,0,1,64,119,1,127,1,0,127,-20,1,46,6,31,0,77,76,65,21,28,0,88,127,33,1,0,63,90,20,112,22,0,4,3,0,0,1,10,68,4,1,2,46,80,42,25,85,64,55,72,25,2,23,12,0,1,5,5,19,127,1,3,5,16,36
 paranoidroid,0,72,2,60,45,1,87,0,1,90,0,1,108,0,68,1,0,73,103,39,17,121,118,22,104,1,0,58,44,98,67,30,0,4,3,0,0,1,5,77,24,1,1,110,8,66,71,12,15,19,113,73,0,60,19,14,1,6,4,28,66,1,3,4,85,69
